PLAYER,SALARY,CAD_SALARY,BORN,AGE,TEAM,Number,Position,Handed,Years_EXP,Height,Weight,Games_Played,Goals,Assists,Points,Penalty_Min,PLUSMINUS,PP_Goals,SH_Goals,GW_Goals,SOG,Shot_PCT
"WARD, AARON",650000,0,CAN ONT,26,DET,27,D,R,4,74,210,60,3,8,11,52,-5,0,0,0,46,6.5
"WARD, DIXON",1200000,0,CAN ALB,30,BUF,15,L,R,6,72,200,78,20,24,44,44,10,2,1,4,101,19.7999999523
"WARD, ED",450000,0,CAN ALB,29,CAL,42,R,R,5,75,215,68,3,5,8,67,-4,0,0,0,56,5.3999999911
"WARE, JEFF",495000,0,CAN ONT,22,FLA,15,D,L,2,76,220,6,0,1,1,6,-6,0,0,0,1,0
"WARRENER, RHETT",850000,0,CAN SAS,23,BUF,4,D,R,3,73,209,61,1,7,8,84,2,0,0,0,44,2.299999997
"WARRINER, TODD",775000,1,CAN ONT,25,TOR,8,L,L,4,73,188,53,9,10,19,28,-6,1,0,1,96,9.3999999762
"WASHBURN, STEVE",400000,0,CAN ONT,24,VAN,28,C,L,3,74,185,12,0,0,0,6,-1,0,0,0,6,0
"WATT, MIKE",375000,1,CAN ONT,23,NYI,12,C,L,1,74,212,75,8,17,25,12,-2,0,0,4,75,10.6999999881
"WEBB, STEVE",375000,0,CAN ONT,24,NYI,8,R,R,2,71,195,45,0,0,0,32,-10,0,0,0,18,0
"WEIGHT, DOUG",4300000,0,USA MI,28,EDM,39,C,L,8,71,195,43,6,31,37,12,-8,1,0,0,79,7.599999994
"WEINRICH, ERIC",1900000,0,USA VA,32,MON,22,D,L,10,73,210,80,7,15,22,89,-25,4,0,1,119,5.8999999911
"WELLS, CHRIS",484000,0,CAN ALB,23,FLA,23,C,L,3,78,223,20,0,2,2,31,-4,0,0,0,28,0
"WERENKA, BRAD",700000,0,CAN ALB,30,PIT,5,D,L,4,74,210,81,6,18,24,93,17,1,0,4,77,7.799999997
"WESENBERG, BRIAN",400000,0,CAN ONT,22,PHI,54,R,R,0,75,187,1,0,0,0,5,1,0,0,0,0,0
"WESLEY, GLEN",2300000,0,CAN ALB,30,CAR,2,D,L,11,73,201,74,7,17,24,44,14,0,0,2,112,6.299999997
"WHITE, BRIAN",400000,0,USA MA,23,COL,59,D,R,0,73,180,2,0,0,0,0,0,0,0,0,0,0
"WHITE, PETER",425000,0,CAN QUE,30,PHI,14,C,L,3,71,200,3,0,0,0,0,0,0,0,0,0,0
"WHITE, TODD",-999,0,CAN ONT,24,CHI,26,C,L,1,70,181,35,5,8,13,20,-1,2,0,0,43,11.599999994
"WHITNEY, RAY",1350000,0,CAN ALB,27,FLA,14,L,R,7,69,160,81,26,38,64,18,-3,7,0,6,193,13.5
"WIEMER, JASON",940000,0,CAN BC,23,CAL,24,L,L,4,73,219,78,8,13,21,177,-12,1,0,1,128,6.299999997
"WILKIE, DAVID",-999,0,USA WA,25,TB,49,R,R,4,73,210,46,1,7,8,69,-19,0,0,0,35,2.8999999985
"WILKINSON, NEIL",-999,0,CAN MAN,32,PIT,6,D,R,9,75,200,24,0,0,0,22,-2,0,0,0,11,0
"WILLIS, SHANE",550000,0,CAN ALB,22,CAR,45,R,R,0,72,176,7,0,0,0,0,-2,0,0,0,1,0
"WILM, CLARKE",400000,1,CAN SAS,22,CAL,23,C,L,0,71,204,78,10,8,18,53,11,2,2,0,94,10.599999994
"WILSON, LANDON",550000,0,USA MO,24,BOS,27,R,R,3,74,210,22,3,3,6,17,0,0,0,0,32,9.3999999762
"WILSON, MIKE",675000,0,CAN ONT,24,FLA,7,D,L,3,76,212,34,1,2,3,47,12,0,0,1,48,2.099999994
"WITEHALL, JOHAN",450000,0,SWEDEN,27,NYR,14,L,L,0,73,198,4,0,0,0,0,0,0,0,0,1,0
"WITT, BRENDAN",1000000,0,CAN SAS,24,WAS,19,D,L,3,73,215,54,2,5,7,87,-6,0,0,0,51,3.8999999985
"WOOLLEY, JASON",950000,0,CAN ONT,30,BUF,5,D,L,7,72,188,80,10,33,43,62,16,4,0,2,154,6.5
"WORRELL, PETER",290000,0,CAN QUE,22,FLA,28,L,L,1,78,225,62,4,5,9,258,0,0,0,2,50,8
"WRIGHT, JAMIE",352000,0,CAN ONT,23,DAL,46,L,L,1,72,172,11,0,0,0,0,-3,0,0,0,10,0
"WRIGHT, TYLER",350000,0,CAN SAS,26,PIT,29,C,R,6,71,185,61,0,0,0,90,-2,0,0,0,16,0
"YACHMENEV, VITALI",450000,0,USSR,24,NAS,43,R,L,3,69,185,55,7,10,17,10,-10,0,1,2,83,8.3999999762
"YAKE, TERRY",-999,0,CAN BC,30,STL,27,R,R,8,71,185,60,9,18,27,34,-9,3,0,4,59,15.2999999821
"YASHIN, ALEXEI",3600000,0,USSR,25,OTT,19,C,R,5,75,216,82,44,50,94,54,16,19,0,5,337,13.099999994
"YAWNEY, TRENT",-999,0,CAN SAS,33,CHI,5,D,L,11,75,195,20,0,0,0,32,-6,0,0,0,11,0
"YELLE, STEPHANE",800000,0,CAN ONT,25,COL,26,C,L,3,73,170,72,8,7,15,40,-8,1,0,0,99,8.099999994
"YLONEN, JUHA",600000,0,FINLAND,27,PHO,36,L,L,2,72,183,59,6,17,23,20,18,2,0,1,66,9.099999994
"YORK, HARRY",440000,0,CAN ALB,25,VAN,27,C,L,2,74,220,56,7,9,16,24,-3,1,0,0,60,11.6999999881
"YORK, JASON",1400000,0,CAN ONT,29,OTT,33,D,R,6,73,198,79,4,31,35,48,17,2,0,0,177,2.299999997
"YOUNG, SCOTT",-999,0,USA MA,31,STL,48,R,R,10,72,190,75,24,28,52,27,8,8,0,4,205,11.6999999881
"YSEBAERT, PAUL",-999,0,CAN ONT,33,TB,15,C,L,10,73,194,10,0,1,1,2,-5,0,0,0,10,0
"YUSHKEVICH, DIMITRI",1600000,0,USSR,27,TOR,36,D,R,6,71,208,78,6,22,28,88,25,2,1,0,95,6.299999997
"YZERMAN, STEVE",6000000,0,CAN BC,34,DET,19,C,R,15,71,185,80,29,45,74,42,8,13,2,4,231,12.599999994
"ZAMUNER, ROB",2100000,0,CAN ONT,29,TB,7,L,L,7,74,206,58,8,11,19,24,-15,1,1,2,89,9
"ZEDNIK, RICHARD",650000,0,CZECH,23,WAS,44,R,L,3,70,180,49,9,8,17,50,-6,1,0,2,115,7.799999997
"ZELEPUKIN, VALERI",907500,0,USSR,30,PHI,26,L,L,7,71,195,74,16,9,25,48,0,0,0,5,129,12.3999999762
"ZENT, JASON",350000,0,USA NY,28,PHI,40,L,L,2,71,204,2,0,0,0,0,0,0,0,0,1,0
"ZETTLER, ROB",400000,0,CAN QUE,31,NAS,2,D,L,10,75,200,2,0,0,0,2,-2,0,0,0,0,0
"ZEZEL, PETER",-999,0,CAN ONT,34,VAN,22,C,L,14,71,205,41,6,8,14,16,5,1,0,2,45,13.2999999821
"ZHAMNOV, ALEXEI",3000000,0,USSR,28,CHI,36,C,L,6,73,195,76,20,41,61,50,-10,8,1,2,200,10
"ZHITNIK, ALEXEI",2500000,0,USSR,26,BUF,44,D,L,6,71,195,81,7,26,33,96,-6,3,1,2,185,3.799999997
"ZHOLTOK, SERGEI",425000,0,USSR,26,MON,34,C,R,4,72,190,70,7,15,22,6,-12,2,0,3,102,6.8999999911
"ZMOLEK, DOUG",1250000,0,USA MN,28,CHI,4,D,L,6,74,220,62,0,14,14,102,1,0,0,0,33,0
"ZUBOV, SERGEI",2425000,0,USSR,29,DAL,56,D,R,6,72,195,81,10,41,51,20,9,5,0,3,155,6.5
"ZUBRUS, DAINIUS",660000,0,USSR,21,MON,28,R,L,2,74,210,80,6,10,16,29,-8,0,1,1,80,7.5
"ZYUZIN, ANDREI",875000,0,USSR,21,SJ,4,D,L,1,73,187,25,3,1,4,38,5,2,0,0,44,6.799999997
