PLAYER,SALARY,CAD_SALARY,BORN,AGE,TEAM,Number,Position,Handed,Years_EXP,Height,Weight,Games_Played,Goals,Assists,Points,Penalty_Min,PLUSMINUS,PP_Goals,SH_Goals,GW_Goals,SOG,Shot_PCT
"RONNING, CLIFF",1750000,0,CAN BC,33,NAS,7,C,L,12,68,167,79,20,40,60,42,-3,10,0,4,257,7.799999997
"ROSA, PAVEL",850000,0,CZECH,22,LA,55,R,R,0,71,178,29,4,12,16,6,0,0,0,0,61,6.599999994
"ROUSE, BOB",2523598,0,CAN BC,35,SJ,3,D,R,15,73,215,70,0,11,11,44,0,0,0,0,75,0
"ROYER, REMI",750000,0,CAN QUE,21,CHI,6,D,R,0,74,185,18,0,0,0,67,-10,0,0,0,24,0
"RUCCHIN, STEVE",2050000,0,CAN ONT,28,ANA,20,C,L,4,75,215,69,23,39,62,22,11,5,1,5,145,15.8999999762
"RUCINSKI, MIKE",2400000,0,USA MI,24,CAR,46,D,L,1,71,185,15,0,1,1,8,1,0,0,0,8,0
"RUCINSKY, MARTIN",-999,0,CZECH,28,MON,26,L,L,7,71,185,73,17,17,34,50,-25,5,0,1,180,9.3999999762
"RUSSELL, CAM",-999,0,CAN NS,30,COL,4,D,L,9,76,200,42,1,2,3,94,-4,0,0,0,15,6.6999999881
"RYAN, TERRY",-999,0,CAN NFD,22,MON,14,L,L,2,73,201,1,0,0,0,5,0,0,0,0,0,0
"RYCHEL, WARREN",-999,0,CAN ONT,32,COL,16,L,L,8,72,202,28,0,2,2,63,3,0,0,0,15,0
"SACCO, JOE",450000,0,USA MA,30,NYI,14,L,L,8,73,195,73,3,0,3,45,-24,0,1,2,84,3.599999994
"SAKIC, JOE",2000000,0,CAN BC,30,COL,19,C,L,10,71,185,73,41,55,96,29,23,12,5,6,255,16.0999999642
"SALEI, RUSLAN",850000,0,USSR,24,ANA,24,D,L,2,74,200,74,2,14,16,65,1,1,0,0,123,1.5999999978
"SALO, SAMI",630000,0,FINLAND,25,OTT,5,D,R,0,75,190,61,7,12,19,24,20,2,0,1,106,6.599999994
"SAMSONOV, SERGEI",925000,0,USSR,20,BOS,14,L,R,1,68,184,79,25,26,51,18,-6,6,0,8,160,15.599999994
"SAMUELSSON, KJELL",-999,0,SWEDEN,40,TB,28,D,R,12,78,235,46,1,4,5,38,-6,0,0,0,22,4.5
"SAMUELSSON, ULF",2200000,0,SWEDEN,35,DET,2,D,L,14,73,200,71,4,8,12,99,5,0,0,0,39,10.2999999821
"SANDERSON, GEOFF",1500000,0,CAN NWT,27,BUF,80,L,L,8,72,190,75,12,18,30,22,8,1,0,1,155,7.6999999881
"SANDSTROM, TOMAS",-999,0,FINLAND,35,ANA,17,L,L,14,74,205,58,15,17,32,42,-5,7,0,2,107,14
"SARAULT, YVES",500000,1,CAN QUE,26,OTT,37,L,L,4,73,170,11,0,1,1,4,1,0,0,0,7,0
"SARICH, CORY",700000,0,CAN SAS,21,BUF,6,D,R,0,75,175,4,0,0,0,0,3,0,0,0,2,0
"SATAN, MIROSLAV",2250000,0,CZECH,24,BUF,81,L,L,3,73,195,81,40,26,66,44,24,13,3,6,208,19.1999999881
"SAVAGE, ANDRE",430000,0,CAN ONT,24,BOS,28,C,R,0,72,195,6,1,0,1,0,2,0,0,0,8,12.5
"SAVAGE, BRIAN",1900000,0,CAN ONT,28,MON,49,L,L,5,74,192,54,16,10,26,20,-14,5,0,4,124,12.8999999762
"SAVARD, MARC",750000,0,CAN ONT,22,NYR,33,C,L,1,70,180,70,9,36,45,38,-7,4,0,1,116,7.799999997
"SAVOIA, RYAN",-999,0,CAN ONT,26,PIT,18,C,R,0,72,195,3,0,0,0,0,-1,0,0,0,0,0
"SCATCHARD, DAVE",575000,0,CAN ALB,23,VAN,20,C,R,1,74,190,82,13,13,26,140,-12,0,2,2,130,10
"SCHAEFER, PETER",375000,0,CAN SAS,22,VAN,29,L,L,0,71,187,25,4,4,8,8,-1,1,0,1,24,16.6999999881
"SCHNEIDER, MATHIEU",2750000,0,USA NY,30,NYR,25,D,L,10,71,192,75,10,24,34,71,-19,5,0,2,159,6.299999997
"SCHULTZ, RAY",300000,0,CAN ALB,22,NYI,36,D,L,1,74,200,4,0,0,0,7,-2,0,0,0,2,0
"SELANNE, TEEMU",5450000,0,FINLAND,29,ANA,8,R,R,6,72,200,75,47,60,107,30,18,25,0,7,281,16.6999999881
"SELIVANOV, ALEXANDER",1700000,0,USSR,28,EDM,28,R,L,4,73,195,72,14,19,33,42,-8,2,0,1,177,7.8999999911
"SEROWIK, JEFF",-999,0,USA NH,32,PIT,16,D,R,2,72,190,26,0,6,6,16,-4,0,0,0,26,0
"SEVERYN, BRENT",-999,0,CAN ALB,33,DAL,17,L,L,6,74,211,30,1,2,3,50,-2,0,0,0,22,4.5
"SHAIRIFIJANOV, VADIM",-999,0,USSR,23,NJ,8,R,L,1,71,205,53,11,16,27,28,11,1,0,2,71,15.5
"SHANAHAN, BRENDAN",4000000,0,CAN ONT,30,DET,14,R,R,11,75,220,81,31,27,58,123,2,5,0,5,288,10.7999999821
"SHANNON, DARRYL",1000000,0,CAN ONT,31,BUF,8,D,L,10,74,208,71,3,12,15,52,28,1,0,0,80,3.799999997
"SHANTZ, JEFF",825000,0,CAN ALB,25,CAL,11,C,R,5,72,185,76,13,17,30,44,14,1,1,3,82,15.8999999762
"SHAW, BRAD",-999,0,CAN ONT,35,STL,28,D,R,10,72,190,16,0,0,0,8,0,0,0,0,15,0
"SHEPPARD, RAY",-999,0,CAN ONT,33,CAR,26,R,R,11,73,195,74,25,33,58,16,4,5,0,4,188,13.2999999821
"SILLINGER, MIKE",800000,0,CAN SAS,28,TB,26,R,R,8,70,191,79,8,5,13,36,-29,0,2,0,92,8.6999999881
"SIM, JON",475000,0,CAN NS,21,DAL,49,C,L,0,69,175,7,1,0,1,12,1,0,0,0,8,12.5
"SIMON, CHRIS",1320000,0,CAN ONT,27,WAS,17,L,L,6,75,225,23,3,7,10,48,-4,0,0,0,29,10.2999999821
"SIMPSON, REID",-999,0,CAN MAN,30,CHI,33,R,L,6,73,220,53,5,4,9,145,2,1,0,0,23,21.6999999881
"SIMPSON, TODD",1066000,0,CAN BC,26,CAL,27,D,L,3,75,215,73,2,8,10,151,18,0,0,0,52,3.799999997
"SKALDE, JARROD",400000,0,CAN ONT,28,SJ,8,C,L,6,72,175,17,1,1,2,4,-6,0,0,0,17,5.8999999911
"SKOPINTSEV, ANDREI",450000,0,USSR,27,TB,46,D,R,0,72,185,19,1,1,2,10,1,0,0,0,17,5.8999999911
"SKRASTINS, KARLIS",360000,0,USSR,25,NAS,40,D,L,0,73,196,2,0,1,1,0,0,0,0,0,0,0
"SKRBEK, PAVEL",800000,0,CZECH,21,PIT,46,D,L,0,75,200,4,0,0,0,2,2,0,0,0,1,0
"SKRUDLAND, BRIAN",1650000,0,CAN ALB,36,DAL,10,C,L,13,72,196,40,4,1,5,33,2,0,0,1,33,12.099999994
"SLANEY, JOHN",400000,0,CAN NFD,27,NAS,27,D,L,5,72,185,46,2,12,14,14,-12,0,0,1,84,2.3999999985
"SLEGR, JIRI",1100000,0,CZECH,28,PIT,71,D,L,5,73,210,63,3,20,23,86,13,1,0,0,91,3.299999997
"SLOAN, BLAKE",357500,0,USA IL,24,DAL,11,R,R,0,70,193,14,0,0,0,10,-1,0,0,0,7,0
"SMEHLIK, RICHARD",1350000,0,CZECH,29,BUF,42,D,L,5,75,222,72,3,11,14,44,-9,0,0,0,61,4.8999999911
